date,bookings,guests,ig_clicks,ig_reach,ig_clicks_lag1,ig_clicks_lag2,ig_clicks_lag3,ig_clicks_lag4,ig_clicks_lag5,ig_clicks_lag6,ig_clicks_lag7,ig_clicks_7d,ig_reach_lag1,ig_reach_lag2,ig_reach_lag3,ig_reach_lag4,ig_reach_lag5,ig_reach_lag6,ig_reach_lag7,ig_reach_7d
2025-09-01,14.0,34.0,0.0,3032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.0
2025-09-02,14.0,29.0,10.0,3714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3032.0,0.0,0.0,0.0,0.0,0.0,0.0,6746.0
2025-09-03,55.0,142.0,22.0,6920.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3714.0,3032.0,0.0,0.0,0.0,0.0,0.0,13666.0
2025-09-04,29.0,68.0,10.0,2892.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,42.0,6920.0,3714.0,3032.0,0.0,0.0,0.0,0.0,16558.0
2025-09-05,8.0,25.0,0.0,4391.0,10.0,22.0,10.0,0.0,0.0,0.0,0.0,42.0,2892.0,6920.0,3714.0,3032.0,0.0,0.0,0.0,20949.0
2025-09-06,26.0,70.0,0.0,5731.0,0.0,10.0,22.0,10.0,0.0,0.0,0.0,42.0,4391.0,2892.0,6920.0,3714.0,3032.0,0.0,0.0,26680.0
2025-09-07,9.0,20.0,0.0,2025.0,0.0,0.0,10.0,22.0,10.0,0.0,0.0,42.0,5731.0,4391.0,2892.0,6920.0,3714.0,3032.0,0.0,28705.0
2025-09-08,20.0,44.0,0.0,5830.0,0.0,0.0,0.0,10.0,22.0,10.0,0.0,42.0,2025.0,5731.0,4391.0,2892.0,6920.0,3714.0,3032.0,31503.0
2025-09-09,9.0,19.0,0.0,5912.0,0.0,0.0,0.0,0.0,10.0,22.0,10.0,32.0,5830.0,2025.0,5731.0,4391.0,2892.0,6920.0,3714.0,33701.0
2025-09-10,9.0,22.0,0.0,1582.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,10.0,5912.0,5830.0,2025.0,5731.0,4391.0,2892.0,6920.0,28363.0
2025-09-11,2.0,6.0,0.0,6249.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1582.0,5912.0,5830.0,2025.0,5731.0,4391.0,2892.0,31720.0
2025-09-12,13.0,36.0,0.0,7108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6249.0,1582.0,5912.0,5830.0,2025.0,5731.0,4391.0,34437.0
2025-09-13,9.0,23.0,0.0,6442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108.0,6249.0,1582.0,5912.0,5830.0,2025.0,5731.0,35148.0
2025-09-14,2.0,6.0,0.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442.0,7108.0,6249.0,1582.0,5912.0,5830.0,2025.0,34692.0
2025-09-15,11.0,25.0,10.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1569.0,6442.0,7108.0,6249.0,1582.0,5912.0,5830.0,29699.0
2025-09-16,18.0,47.0,3.0,216.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,837.0,1569.0,6442.0,7108.0,6249.0,1582.0,5912.0,24003.0
2025-09-17,6.0,19.0,0.0,270.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,216.0,837.0,1569.0,6442.0,7108.0,6249.0,1582.0,22691.0
2025-09-18,-1.0,1.0,0.0,335.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,13.0,270.0,216.0,837.0,1569.0,6442.0,7108.0,6249.0,16777.0
2025-09-19,16.0,53.0,0.0,807.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,13.0,335.0,270.0,216.0,837.0,1569.0,6442.0,7108.0,10476.0
2025-09-20,21.0,51.0,0.0,1299.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,13.0,807.0,335.0,270.0,216.0,837.0,1569.0,6442.0,5333.0
2025-09-21,9.0,32.0,0.0,603.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,13.0,1299.0,807.0,335.0,270.0,216.0,837.0,1569.0,4367.0
2025-09-22,17.0,60.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,603.0,1299.0,807.0,335.0,270.0,216.0,837.0,4240.0
2025-09-23,25.0,58.0,226.0,7439.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,226.0,710.0,603.0,1299.0,807.0,335.0,270.0,216.0,11463.0
2025-09-24,36.0,103.0,282.0,9052.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,7439.0,710.0,603.0,1299.0,807.0,335.0,270.0,20245.0
2025-09-25,22.0,57.0,297.0,9053.0,282.0,226.0,0.0,0.0,0.0,0.0,0.0,805.0,9052.0,7439.0,710.0,603.0,1299.0,807.0,335.0,28963.0
2025-09-26,31.0,79.0,58.0,2888.0,297.0,282.0,226.0,0.0,0.0,0.0,0.0,863.0,9053.0,9052.0,7439.0,710.0,603.0,1299.0,807.0,31044.0
2025-09-27,28.0,71.0,0.0,499.0,58.0,297.0,282.0,226.0,0.0,0.0,0.0,863.0,2888.0,9053.0,9052.0,7439.0,710.0,603.0,1299.0,30244.0
2025-09-28,9.0,25.0,0.0,356.0,0.0,58.0,297.0,282.0,226.0,0.0,0.0,863.0,499.0,2888.0,9053.0,9052.0,7439.0,710.0,603.0,29997.0
2025-09-29,20.0,57.0,177.0,6619.0,0.0,0.0,58.0,297.0,282.0,226.0,0.0,1040.0,356.0,499.0,2888.0,9053.0,9052.0,7439.0,710.0,35906.0
